ato	AT
ego	EG
saro	SAR
sabe	SAB
sapo	SAP
soro	SOR
sob	SOB
soto	SOT
sós	SOS
ser	SER
sebo	SEB
segue	SEG
sedo	SED
subo	SUB
sugo	SUG
caro	KAR
cavo	KAW
cabo	KAB
capo	KAP
cato	KAT
caço	KAS
cadê	KAD
caso	KAZ
cor	KOR
copo	KOP
coço	KOS
quer	KER
curo	KUR
cubo	KUB
culpo	KUP
taro	TAR
tapo	TAP
tato	TAT
tado	TAD
todo	TOD
ter	TER
teve	TEW
teto	TET
tubo	TUB
tudo	TUD
faro	FAR
favo	FAW
fago	FAG
fato	FAT
faço	FAS
fado	FAD
faz	FAZ
for	FOR
fofo	FOW
fobo	FOB
fogo	FOG
foto	FOT
fosso	FOS
foz	FOZ
fere	FER
feto	FET
fede	FED
furo	FUR
par	PAR
papo	PAP
pago	PAG
pato	PAT
passo	PAS
pado	PAD
paz	PAZ
povo	POW
pote	POT
posso	POS
podo	POD
pose	POZ
pego	PEG
pet	PET
pede	PED
peso	PEZ
puro	PUR
pupo	PUP
pus	PUS
pude	PUD
lar	LAR
lavo	LAW
lago	LAG
lato	LAT
lado	LAD
lobo	LOB
logo	LOG
loto	LOT
lodo	LOD
ler	LER
leve	LEW
lego	LEG
leto	LET
luto	LUT
raro	RAR
rabo	RAB
rapo	RAP
rato	RAT
raso	RAZ
rogo	ROG
roto	ROT
roço	ROS
rodo	ROD
rego	REG
reto	RET
rede	RED
rezo	REZ
rude	RUD
